Question,Option A,Option B,Option C,Option D,Answer
761. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
762. Which enzyme unwinds the DNA helix during replication?,Ligase,RNA polymerase,Helicase,DNA polymerase,Helicase
763. What is the basic unit of heredity?,Protein,Ribosome,Gene,Chromosome,Gene
764. Which is a recessive genetic disorder?,Cystic fibrosis,Down syndrome,Huntington's disease,Sickle cell anemia,Cystic fibrosis
765. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,James Watson,Francis Crick,Gregor Mendel
766. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
767. What is the function of a promoter region?,Terminate transcription,Code for a protein,To initiate transcription,Splice mRNA,To initiate transcription
768. Which is a recessive genetic disorder?,Down syndrome,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Cystic fibrosis
769. What is the role of mRNA?,Synthesize proteins,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
770. What is the term for different forms of a gene?,Alleles,Codons,Nucleotides,Chromatids,Alleles
771. Which molecule carries genetic information in most organisms?,Protein,RNA,Lipid,DNA,DNA
772. Which molecule carries genetic information in most organisms?,Lipid,Protein,DNA,RNA,DNA
773. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Code for a protein,Splice mRNA,To initiate transcription
774. Who is known as the father of genetics?,James Watson,Charles Darwin,Francis Crick,Gregor Mendel,Gregor Mendel
775. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
776. Which molecule carries genetic information in most organisms?,RNA,DNA,Lipid,Protein,DNA
777. Which is a recessive genetic disorder?,Huntington's disease,Sickle cell anemia,Cystic fibrosis,Down syndrome,Cystic fibrosis
778. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Terminate transcription,Code for a protein,To initiate transcription
779. Which molecule carries genetic information in most organisms?,DNA,Lipid,Protein,RNA,DNA
780. Which enzyme unwinds the DNA helix during replication?,Helicase,RNA polymerase,DNA polymerase,Ligase,Helicase
781. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Missense mutation,Silent mutation,Silent mutation
782. What is the basic unit of heredity?,Chromosome,Protein,Gene,Ribosome,Gene
783. What is a genotype?,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
784. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
785. What is the term for different forms of a gene?,Nucleotides,Alleles,Chromatids,Codons,Alleles
786. Who is known as the father of genetics?,Charles Darwin,James Watson,Gregor Mendel,Francis Crick,Gregor Mendel
787. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Silent mutation,Missense mutation,Nonsense mutation,Silent mutation
788. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
789. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Down syndrome,Sickle cell anemia,Cystic fibrosis
790. What is the basic unit of heredity?,Chromosome,Ribosome,Gene,Protein,Gene
791. Who is known as the father of genetics?,Charles Darwin,Francis Crick,James Watson,Gregor Mendel,Gregor Mendel
792. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Splice mRNA,Code for a protein,To initiate transcription
793. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,Silent mutation
794. Who is known as the father of genetics?,James Watson,Gregor Mendel,Francis Crick,Charles Darwin,Gregor Mendel
795. What is the term for different forms of a gene?,Codons,Chromatids,Nucleotides,Alleles,Alleles
796. What is the function of a promoter region?,Splice mRNA,Code for a protein,To initiate transcription,Terminate transcription,To initiate transcription
797. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
798. Which molecule carries genetic information in most organisms?,Protein,Lipid,DNA,RNA,DNA
799. Which molecule carries genetic information in most organisms?,DNA,RNA,Lipid,Protein,DNA
800. What is the term for different forms of a gene?,Chromatids,Alleles,Codons,Nucleotides,Alleles
801. Which molecule carries genetic information in most organisms?,Lipid,RNA,Protein,DNA,DNA
802. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
803. What is the term for different forms of a gene?,Chromatids,Codons,Nucleotides,Alleles,Alleles
804. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
805. What is the term for different forms of a gene?,Chromatids,Codons,Alleles,Nucleotides,Alleles
806. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Ligase,Helicase,DNA polymerase,Helicase
807. Which molecule carries genetic information in most organisms?,RNA,Protein,Lipid,DNA,DNA
808. What is the role of mRNA?,Transfer amino acids to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
809. What is the basic unit of heredity?,Protein,Chromosome,Gene,Ribosome,Gene
810. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Silent mutation,Missense mutation,Silent mutation
811. What is the basic unit of heredity?,Protein,Ribosome,Gene,Chromosome,Gene
812. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Silent mutation,Missense mutation,Silent mutation
813. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Code for a protein,Splice mRNA,To initiate transcription
814. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Helicase,Ligase,RNA polymerase,Helicase
815. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Code for a protein,Terminate transcription,To initiate transcription
816. What is a genotype?,Inheritance patterns,The genetic makeup of an organism,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism
817. What is the function of a promoter region?,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription,To initiate transcription
818. What is a genotype?,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
819. What is the function of a promoter region?,To initiate transcription,Code for a protein,Splice mRNA,Terminate transcription,To initiate transcription
820. What is a genotype?,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism
821. Which molecule carries genetic information in most organisms?,Lipid,RNA,Protein,DNA,DNA
822. Which is a recessive genetic disorder?,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Down syndrome,Cystic fibrosis
823. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
824. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Code for a protein,Terminate transcription,To initiate transcription
825. What is the term for different forms of a gene?,Nucleotides,Codons,Chromatids,Alleles,Alleles
826. What is the basic unit of heredity?,Gene,Ribosome,Protein,Chromosome,Gene
827. What is the term for different forms of a gene?,Chromatids,Nucleotides,Codons,Alleles,Alleles
828. Which enzyme unwinds the DNA helix during replication?,Ligase,RNA polymerase,DNA polymerase,Helicase,Helicase
829. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,Ligase,DNA polymerase,Helicase
830. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis,Cystic fibrosis
831. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,Ligase,DNA polymerase,Helicase
832. What is a genotype?,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
833. What is the term for different forms of a gene?,Codons,Chromatids,Nucleotides,Alleles,Alleles
834. Which molecule carries genetic information in most organisms?,Protein,RNA,DNA,Lipid,DNA
835. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Frameshift mutation,Silent mutation,Missense mutation,Silent mutation
836. Who is known as the father of genetics?,Charles Darwin,Gregor Mendel,Francis Crick,James Watson,Gregor Mendel
837. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Helicase,Ligase,RNA polymerase,Helicase
838. Which is a recessive genetic disorder?,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Down syndrome,Cystic fibrosis
839. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Code for a protein,Terminate transcription,To initiate transcription
840. Who is known as the father of genetics?,James Watson,Charles Darwin,Francis Crick,Gregor Mendel,Gregor Mendel
841. What is a genotype?,The genetic makeup of an organism,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism
842. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,DNA polymerase,Helicase,Ligase,Helicase
843. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Missense mutation,Frameshift mutation,Silent mutation
844. What is a genotype?,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,Inheritance patterns,The genetic makeup of an organism
845. What is the role of mRNA?,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
846. Which is a recessive genetic disorder?,Sickle cell anemia,Huntington's disease,Cystic fibrosis,Down syndrome,Cystic fibrosis
847. Who is known as the father of genetics?,Francis Crick,Gregor Mendel,Charles Darwin,James Watson,Gregor Mendel
848. What is a genotype?,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
849. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Ligase,DNA polymerase,Helicase,Helicase
850. What is the role of mRNA?,Transfer amino acids to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
851. Which molecule carries genetic information in most organisms?,Protein,DNA,Lipid,RNA,DNA
852. Which enzyme unwinds the DNA helix during replication?,Ligase,RNA polymerase,DNA polymerase,Helicase,Helicase
853. What is the function of a promoter region?,Terminate transcription,Splice mRNA,Code for a protein,To initiate transcription,To initiate transcription
854. What is the function of a promoter region?,Terminate transcription,Code for a protein,To initiate transcription,Splice mRNA,To initiate transcription
855. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Frameshift mutation,Missense mutation,Silent mutation,Silent mutation
856. Which molecule carries genetic information in most organisms?,Lipid,Protein,DNA,RNA,DNA
857. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Helicase,RNA polymerase,Ligase,Helicase
858. What is the function of a promoter region?,Terminate transcription,Splice mRNA,Code for a protein,To initiate transcription,To initiate transcription
859. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Cystic fibrosis,Huntington's disease,Cystic fibrosis
860. What is the term for different forms of a gene?,Alleles,Chromatids,Codons,Nucleotides,Alleles
861. Which is a recessive genetic disorder?,Down syndrome,Sickle cell anemia,Cystic fibrosis,Huntington's disease,Cystic fibrosis
862. What is the function of a promoter region?,To initiate transcription,Terminate transcription,Splice mRNA,Code for a protein,To initiate transcription
863. What is the term for different forms of a gene?,Codons,Nucleotides,Alleles,Chromatids,Alleles
864. What is a mutation not affecting amino acid sequences?,Silent mutation,Frameshift mutation,Missense mutation,Nonsense mutation,Silent mutation
865. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Sickle cell anemia,Down syndrome,Cystic fibrosis
866. What is the term for different forms of a gene?,Chromatids,Nucleotides,Alleles,Codons,Alleles
867. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,Charles Darwin,James Watson,Gregor Mendel
868. What is the role of mRNA?,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
869. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis,Cystic fibrosis
870. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Frameshift mutation,Missense mutation,Silent mutation
871. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Silent mutation,Missense mutation,Silent mutation
872. What is a genotype?,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
873. What is the role of mRNA?,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
874. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
875. Which is a recessive genetic disorder?,Cystic fibrosis,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis
876. Which molecule carries genetic information in most organisms?,DNA,Lipid,Protein,RNA,DNA
877. What is the function of a promoter region?,Code for a protein,Splice mRNA,Terminate transcription,To initiate transcription,To initiate transcription
878. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
879. Which is a recessive genetic disorder?,Cystic fibrosis,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis
880. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Cystic fibrosis,Huntington's disease,Cystic fibrosis
881. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription
882. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Terminate transcription,Code for a protein,To initiate transcription
883. What is the function of a promoter region?,Code for a protein,Splice mRNA,To initiate transcription,Terminate transcription,To initiate transcription
884. What is a genotype?,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism,The observable characteristics,The genetic makeup of an organism
885. Which molecule carries genetic information in most organisms?,DNA,Lipid,Protein,RNA,DNA
886. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation,Silent mutation
887. What is the term for different forms of a gene?,Codons,Nucleotides,Chromatids,Alleles,Alleles
888. What is the term for different forms of a gene?,Chromatids,Codons,Alleles,Nucleotides,Alleles
889. What is a genotype?,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism
890. What is a genotype?,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
891. What is the term for different forms of a gene?,Codons,Nucleotides,Alleles,Chromatids,Alleles
892. Which molecule carries genetic information in most organisms?,RNA,Protein,Lipid,DNA,DNA
893. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
894. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation
895. Which enzyme unwinds the DNA helix during replication?,Helicase,Ligase,RNA polymerase,DNA polymerase,Helicase
896. Which is a recessive genetic disorder?,Down syndrome,Huntington's disease,Sickle cell anemia,Cystic fibrosis,Cystic fibrosis
897. What is the term for different forms of a gene?,Nucleotides,Codons,Chromatids,Alleles,Alleles
898. Which enzyme unwinds the DNA helix during replication?,Ligase,RNA polymerase,DNA polymerase,Helicase,Helicase
899. What is the term for different forms of a gene?,Chromatids,Nucleotides,Codons,Alleles,Alleles
900. Which molecule carries genetic information in most organisms?,DNA,Lipid,Protein,RNA,DNA
901. Which molecule carries genetic information in most organisms?,Protein,RNA,Lipid,DNA,DNA
902. What is a genotype?,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,Inheritance patterns,The genetic makeup of an organism
903. What is the term for different forms of a gene?,Nucleotides,Alleles,Codons,Chromatids,Alleles
904. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
905. What is the role of mRNA?,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
906. What is the term for different forms of a gene?,Codons,Nucleotides,Chromatids,Alleles,Alleles
907. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,Francis Crick,James Watson,Gregor Mendel
908. What is the term for different forms of a gene?,Nucleotides,Alleles,Codons,Chromatids,Alleles
909. What is the basic unit of heredity?,Ribosome,Chromosome,Protein,Gene,Gene
910. Which is a recessive genetic disorder?,Sickle cell anemia,Huntington's disease,Cystic fibrosis,Down syndrome,Cystic fibrosis
911. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Silent mutation,Missense mutation,Silent mutation
912. What is the basic unit of heredity?,Protein,Ribosome,Chromosome,Gene,Gene
913. What is the role of mRNA?,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
914. Who is known as the father of genetics?,Gregor Mendel,James Watson,Charles Darwin,Francis Crick,Gregor Mendel
915. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
916. What is the term for different forms of a gene?,Codons,Nucleotides,Alleles,Chromatids,Alleles
917. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,RNA polymerase,Helicase,Ligase,Helicase
918. What is a genotype?,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism
919. What is the term for different forms of a gene?,Chromatids,Alleles,Nucleotides,Codons,Alleles
920. What is the function of a promoter region?,Code for a protein,Splice mRNA,Terminate transcription,To initiate transcription,To initiate transcription
921. Which enzyme unwinds the DNA helix during replication?,Helicase,RNA polymerase,DNA polymerase,Ligase,Helicase
922. What is the term for different forms of a gene?,Alleles,Codons,Chromatids,Nucleotides,Alleles
923. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Code for a protein,Splice mRNA,To initiate transcription
924. Which molecule carries genetic information in most organisms?,RNA,Lipid,Protein,DNA,DNA
925. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Missense mutation,Nonsense mutation,Silent mutation,Silent mutation
926. What is the function of a promoter region?,Code for a protein,Splice mRNA,Terminate transcription,To initiate transcription,To initiate transcription
927. Which molecule carries genetic information in most organisms?,Lipid,RNA,DNA,Protein,DNA
928. What is a genotype?,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
929. Which enzyme unwinds the DNA helix during replication?,Helicase,Ligase,RNA polymerase,DNA polymerase,Helicase
930. Who is known as the father of genetics?,Francis Crick,James Watson,Charles Darwin,Gregor Mendel,Gregor Mendel
931. What is the role of mRNA?,Transfer amino acids to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
932. What is a mutation not affecting amino acid sequences?,Missense mutation,Frameshift mutation,Nonsense mutation,Silent mutation,Silent mutation
933. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Nonsense mutation,Missense mutation,Silent mutation,Silent mutation
934. Which is a recessive genetic disorder?,Huntington's disease,Cystic fibrosis,Down syndrome,Sickle cell anemia,Cystic fibrosis
935. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Frameshift mutation,Missense mutation,Silent mutation
936. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
937. What is the role of mRNA?,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
938. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
939. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Silent mutation,Missense mutation,Frameshift mutation,Silent mutation
940. What is the term for different forms of a gene?,Alleles,Codons,Chromatids,Nucleotides,Alleles
941. What is the basic unit of heredity?,Chromosome,Ribosome,Gene,Protein,Gene
942. Which is a recessive genetic disorder?,Cystic fibrosis,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis
943. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,Charles Darwin,James Watson,Gregor Mendel
944. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
945. What is the basic unit of heredity?,Chromosome,Protein,Ribosome,Gene,Gene
946. What is a mutation not affecting amino acid sequences?,Silent mutation,Frameshift mutation,Nonsense mutation,Missense mutation,Silent mutation
947. What is the basic unit of heredity?,Ribosome,Chromosome,Gene,Protein,Gene
948. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
949. What is the basic unit of heredity?,Chromosome,Protein,Gene,Ribosome,Gene
950. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Terminate transcription,Code for a protein,To initiate transcription
951. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The genetic makeup of an organism
952. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,Francis Crick,James Watson,Gregor Mendel
953. What is the term for different forms of a gene?,Chromatids,Alleles,Nucleotides,Codons,Alleles
954. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
955. What is a genotype?,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism,The observable characteristics,The genetic makeup of an organism
956. What is the role of mRNA?,Store genetic information,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
957. Which molecule carries genetic information in most organisms?,RNA,Protein,DNA,Lipid,DNA
958. Who is known as the father of genetics?,Francis Crick,James Watson,Charles Darwin,Gregor Mendel,Gregor Mendel
959. What is a genotype?,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism
960. Which molecule carries genetic information in most organisms?,Lipid,RNA,Protein,DNA,DNA
961. What is the term for different forms of a gene?,Alleles,Nucleotides,Codons,Chromatids,Alleles
962. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Helicase,RNA polymerase,Ligase,Helicase
963. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,Silent mutation
964. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,Ligase,DNA polymerase,Helicase
965. What is the function of a promoter region?,Code for a protein,To initiate transcription,Splice mRNA,Terminate transcription,To initiate transcription
966. What is a mutation not affecting amino acid sequences?,Missense mutation,Silent mutation,Frameshift mutation,Nonsense mutation,Silent mutation
967. What is the term for different forms of a gene?,Chromatids,Codons,Alleles,Nucleotides,Alleles
968. What is the term for different forms of a gene?,Nucleotides,Chromatids,Codons,Alleles,Alleles
969. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
970. What is the term for different forms of a gene?,Codons,Nucleotides,Chromatids,Alleles,Alleles
971. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,RNA polymerase,Helicase,Ligase,Helicase
972. What is a genotype?,The genetic makeup of an organism,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
973. What is the term for different forms of a gene?,Chromatids,Codons,Nucleotides,Alleles,Alleles
974. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,DNA polymerase,RNA polymerase,Helicase
975. What is the function of a promoter region?,Splice mRNA,Code for a protein,Terminate transcription,To initiate transcription,To initiate transcription
976. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Silent mutation,Frameshift mutation,Silent mutation
977. What is the term for different forms of a gene?,Nucleotides,Chromatids,Alleles,Codons,Alleles
978. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Missense mutation,Frameshift mutation,Silent mutation,Silent mutation
979. What is the term for different forms of a gene?,Alleles,Chromatids,Codons,Nucleotides,Alleles
980. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Frameshift mutation,Missense mutation,Silent mutation
981. Which molecule carries genetic information in most organisms?,RNA,Protein,Lipid,DNA,DNA
982. What is the role of mRNA?,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
983. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Frameshift mutation,Nonsense mutation,Silent mutation
984. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Down syndrome,Sickle cell anemia,Cystic fibrosis
985. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation
986. What is a mutation not affecting amino acid sequences?,Frameshift mutation,Missense mutation,Silent mutation,Nonsense mutation,Silent mutation
987. Which is a recessive genetic disorder?,Down syndrome,Cystic fibrosis,Sickle cell anemia,Huntington's disease,Cystic fibrosis
988. Which molecule carries genetic information in most organisms?,RNA,DNA,Protein,Lipid,DNA
989. Which enzyme unwinds the DNA helix during replication?,Helicase,RNA polymerase,Ligase,DNA polymerase,Helicase
990. What is the term for different forms of a gene?,Codons,Nucleotides,Alleles,Chromatids,Alleles
991. What is a genotype?,The genetic makeup of an organism,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
992. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,RNA polymerase,Helicase,Ligase,Helicase
993. Which is a recessive genetic disorder?,Huntington's disease,Cystic fibrosis,Down syndrome,Sickle cell anemia,Cystic fibrosis
994. Which molecule carries genetic information in most organisms?,Lipid,Protein,DNA,RNA,DNA
995. What is the term for different forms of a gene?,Chromatids,Alleles,Nucleotides,Codons,Alleles
996. Who is known as the father of genetics?,Charles Darwin,Gregor Mendel,James Watson,Francis Crick,Gregor Mendel
997. What is the role of mRNA?,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
998. What is the basic unit of heredity?,Chromosome,Ribosome,Gene,Protein,Gene
999. What is the basic unit of heredity?,Gene,Protein,Ribosome,Chromosome,Gene
1000. Which molecule carries genetic information in most organisms?,Lipid,Protein,RNA,DNA,DNA
